2020-05-07 22:47:12 INFO  TaskSetManager:54 - Finished task 6.0 in stage 0.0 (TID 6) in 5923 ms on localhost (executor driver) (7/250)
2020-05-07 22:47:12 INFO  Executor:54 - Running task 7.0 in stage 0.0 (TID 7)
2020-05-07 22:47:13 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:17 INFO  PythonRunner:54 - Times: total = 4428, boot = 134, init = 0, finish = 4294
2020-05-07 22:47:17 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000007_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000007
2020-05-07 22:47:17 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000007_0: Committed
2020-05-07 22:47:17 INFO  Executor:54 - Finished task 7.0 in stage 0.0 (TID 7). 1723 bytes result sent to driver
2020-05-07 22:47:17 INFO  TaskSetManager:54 - Starting task 8.0 in stage 0.0 (TID 8, localhost, executor driver, partition 8, PROCESS_LOCAL, 7921 bytes)
2020-05-07 22:47:17 INFO  Executor:54 - Running task 8.0 in stage 0.0 (TID 8)
2020-05-07 22:47:17 INFO  TaskSetManager:54 - Finished task 7.0 in stage 0.0 (TID 7) in 4497 ms on localhost (executor driver) (8/250)
2020-05-07 22:47:17 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:22 INFO  PythonRunner:54 - Times: total = 5299, boot = -15, init = 16, finish = 5298
2020-05-07 22:47:22 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000008_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000008
2020-05-07 22:47:22 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000008_0: Committed
2020-05-07 22:47:22 INFO  Executor:54 - Finished task 8.0 in stage 0.0 (TID 8). 1766 bytes result sent to driver
2020-05-07 22:47:22 INFO  TaskSetManager:54 - Starting task 9.0 in stage 0.0 (TID 9, localhost, executor driver, partition 9, PROCESS_LOCAL, 7906 bytes)
2020-05-07 22:47:22 INFO  TaskSetManager:54 - Finished task 8.0 in stage 0.0 (TID 8) in 5370 ms on localhost (executor driver) (9/250)
2020-05-07 22:47:22 INFO  Executor:54 - Running task 9.0 in stage 0.0 (TID 9)
2020-05-07 22:47:22 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:26 INFO  PythonRunner:54 - Times: total = 3798, boot = -25, init = 29, finish = 3794
2020-05-07 22:47:26 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000009_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000009
2020-05-07 22:47:26 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000009_0: Committed
2020-05-07 22:47:26 INFO  Executor:54 - Finished task 9.0 in stage 0.0 (TID 9). 1723 bytes result sent to driver
2020-05-07 22:47:26 INFO  TaskSetManager:54 - Starting task 10.0 in stage 0.0 (TID 10, localhost, executor driver, partition 10, PROCESS_LOCAL, 7910 bytes)
2020-05-07 22:47:26 INFO  TaskSetManager:54 - Finished task 9.0 in stage 0.0 (TID 9) in 3845 ms on localhost (executor driver) (10/250)
2020-05-07 22:47:26 INFO  Executor:54 - Running task 10.0 in stage 0.0 (TID 10)
2020-05-07 22:47:26 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:30 INFO  PythonRunner:54 - Times: total = 3960, boot = -19, init = 24, finish = 3955
2020-05-07 22:47:30 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000010_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000010
2020-05-07 22:47:30 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000010_0: Committed
2020-05-07 22:47:30 INFO  Executor:54 - Finished task 10.0 in stage 0.0 (TID 10). 1723 bytes result sent to driver
2020-05-07 22:47:30 INFO  TaskSetManager:54 - Starting task 11.0 in stage 0.0 (TID 11, localhost, executor driver, partition 11, PROCESS_LOCAL, 7951 bytes)
2020-05-07 22:47:30 INFO  TaskSetManager:54 - Finished task 10.0 in stage 0.0 (TID 10) in 4001 ms on localhost (executor driver) (11/250)
2020-05-07 22:47:30 INFO  Executor:54 - Running task 11.0 in stage 0.0 (TID 11)
2020-05-07 22:47:30 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:34 INFO  PythonRunner:54 - Times: total = 3742, boot = 26, init = 0, finish = 3716
2020-05-07 22:47:34 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000011_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000011
2020-05-07 22:47:34 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000011_0: Committed
2020-05-07 22:47:34 INFO  Executor:54 - Finished task 11.0 in stage 0.0 (TID 11). 1723 bytes result sent to driver
2020-05-07 22:47:34 INFO  TaskSetManager:54 - Starting task 12.0 in stage 0.0 (TID 12, localhost, executor driver, partition 12, PROCESS_LOCAL, 7915 bytes)
2020-05-07 22:47:34 INFO  TaskSetManager:54 - Finished task 11.0 in stage 0.0 (TID 11) in 3789 ms on localhost (executor driver) (12/250)
2020-05-07 22:47:34 INFO  Executor:54 - Running task 12.0 in stage 0.0 (TID 12)
2020-05-07 22:47:34 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:41 INFO  PythonRunner:54 - Times: total = 6601, boot = -14, init = 15, finish = 6600
2020-05-07 22:47:41 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000012_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000012
2020-05-07 22:47:41 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000012_0: Committed
2020-05-07 22:47:41 INFO  Executor:54 - Finished task 12.0 in stage 0.0 (TID 12). 1723 bytes result sent to driver
2020-05-07 22:47:41 INFO  TaskSetManager:54 - Starting task 13.0 in stage 0.0 (TID 13, localhost, executor driver, partition 13, PROCESS_LOCAL, 7914 bytes)
2020-05-07 22:47:41 INFO  Executor:54 - Running task 13.0 in stage 0.0 (TID 13)
2020-05-07 22:47:41 INFO  TaskSetManager:54 - Finished task 12.0 in stage 0.0 (TID 12) in 6650 ms on localhost (executor driver) (13/250)
2020-05-07 22:47:41 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:44 INFO  PythonRunner:54 - Times: total = 3722, boot = -19, init = 25, finish = 3716
2020-05-07 22:47:44 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000013_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000013
2020-05-07 22:47:44 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000013_0: Committed
2020-05-07 22:47:44 INFO  Executor:54 - Finished task 13.0 in stage 0.0 (TID 13). 1723 bytes result sent to driver
2020-05-07 22:47:44 INFO  TaskSetManager:54 - Starting task 14.0 in stage 0.0 (TID 14, localhost, executor driver, partition 14, PROCESS_LOCAL, 7925 bytes)
2020-05-07 22:47:44 INFO  TaskSetManager:54 - Finished task 13.0 in stage 0.0 (TID 13) in 3757 ms on localhost (executor driver) (14/250)
2020-05-07 22:47:44 INFO  Executor:54 - Running task 14.0 in stage 0.0 (TID 14)
2020-05-07 22:47:44 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:50 INFO  PythonRunner:54 - Times: total = 6043, boot = -11, init = 12, finish = 6042
2020-05-07 22:47:50 INFO  FileOutputCommitter:535 - Saved output of task 'attempt_20200507224624_0003_m_000014_0' to file:/home/hadoop/batch1.pkl/_temporary/0/task_20200507224624_0003_m_000014
2020-05-07 22:47:50 INFO  SparkHadoopMapRedUtil:54 - attempt_20200507224624_0003_m_000014_0: Committed
2020-05-07 22:47:50 INFO  Executor:54 - Finished task 14.0 in stage 0.0 (TID 14). 1723 bytes result sent to driver
2020-05-07 22:47:50 INFO  TaskSetManager:54 - Starting task 15.0 in stage 0.0 (TID 15, localhost, executor driver, partition 15, PROCESS_LOCAL, 7909 bytes)
2020-05-07 22:47:50 INFO  TaskSetManager:54 - Finished task 14.0 in stage 0.0 (TID 14) in 6101 ms on localhost (executor driver) (15/250)
2020-05-07 22:47:50 INFO  Executor:54 - Running task 15.0 in stage 0.0 (TID 15)
2020-05-07 22:47:51 INFO  FileOutputCommitter:108 - File Output Committer Algorithm version is 1
2020-05-07 22:47:58 INFO  PythonRunner:54 - Times: total = 7567, boot = -5, init = 6, finish = 7566
